id,created_at,user_id,amount
203,2018-01-06 06:43:30.871604,180,5
204,2018-01-06 12:41:02.04976,181,10
206,2018-01-07 02:37:02.998566,182,5
208,2018-01-07 08:26:30.552509,183,10
216,2018-01-08 21:02:20.798863,184,5
218,2018-01-09 08:45:26.948437,185,10
219,2018-01-09 09:48:27.273537,186,10
220,2018-01-09 11:38:56.727219,187,10
222,2018-01-09 21:32:52.649196,188,5
228,2018-01-11 08:14:38.20244,190,10
229,2018-01-11 10:04:20.384803,191,5
232,2018-01-11 20:56:39.054227,192,5
233,2018-01-11 22:14:47.461506,193,5
242,2018-01-12 21:24:44.082987,195,10
246,2018-01-13 09:31:06.315112,196,5
247,2018-01-13 13:10:53.867601,197,10
248,2018-01-13 14:21:41.78079,198,10
250,2018-01-13 19:59:59.929393,199,10
253,2018-01-14 06:25:19.978346,200,10
259,2018-01-15 22:13:50.330977,204,10
260,2018-01-16 00:34:03.245313,205,5
264,2018-01-16 19:55:03.385477,206,10
267,2018-01-17 03:32:39.842064,207,5
268,2018-01-17 17:45:43.196509,208,10
270,2018-01-17 23:13:49.108842,209,5
273,2018-01-18 06:56:14.744307,211,10
277,2018-01-18 20:10:17.874945,213,5
279,2018-01-19 09:41:58.273636,214,5
280,2018-01-19 11:44:25.329138,215,10
287,2018-01-20 22:49:54.616965,216,5
291,2018-01-21 08:29:32.503564,217,5
292,2018-01-21 09:22:54.573704,218,10
293,2018-01-21 11:37:24.42955,219,10
295,2018-01-21 14:35:46.471079,220,5
300,2018-01-22 04:12:47.063567,221,5
303,2018-01-22 14:09:56.314812,222,5
304,2018-01-22 19:29:28.278213,223,5
305,2018-01-22 23:43:45.606642,224,5
307,2018-01-23 04:05:29.376623,225,5
376,2018-02-04 19:00:54.63094,268,5
378,2018-02-05 03:31:28.002099,270,10
380,2018-02-05 07:32:21.204131,271,5
383,2018-02-05 12:59:18.316797,272,5
385,2018-02-05 22:17:54.756125,178,10
386,2018-02-06 04:50:37.210296,179,10
387,2018-02-06 06:43:30.871604,180,10
389,2018-02-07 02:37:02.998566,182,5
390,2018-02-07 05:27:53.118668,274,10
392,2018-02-07 08:26:30.552509,183,10
394,2018-02-07 11:57:11.949321,275,5
397,2018-02-07 15:10:50.737235,276,5
398,2018-02-07 19:30:46.571774,277,10
399,2018-02-08 00:06:25.16,279,5
401,2018-02-08 02:43:35.85417,280,5
402,2018-02-08 04:05:12.173015,282,5
404,2018-02-08 11:43:13.285875,283,10
405,2018-02-08 11:48:40.807535,284,10
408,2018-02-08 21:02:20.798863,184,10
409,2018-02-09 01:36:15.502398,285,5
411,2018-02-09 08:45:26.948437,185,5
412,2018-02-09 09:34:52.380633,286,10
413,2018-02-09 09:48:27.273537,186,5
414,2018-02-09 11:38:56.727219,187,10
415,2018-02-09 21:32:52.649196,188,10
416,2018-02-09 23:57:06.279265,288,10
417,2018-02-10 02:37:44.65004,289,5
419,2018-02-10 14:40:34.755977,291,5
421,2018-02-11 00:25:06.740961,292,10
424,2018-02-11 08:14:38.20244,190,5
426,2018-02-11 12:42:44.061559,293,5
427,2018-02-11 13:10:03.593603,295,5
429,2018-02-11 20:56:39.054227,192,5
430,2018-02-11 22:14:47.461506,193,10
438,2018-02-12 21:24:44.082987,195,10
441,2018-02-13 07:45:13.54096,301,10
442,2018-02-13 07:49:19.222588,302,5
443,2018-02-13 09:31:06.315112,196,10
444,2018-02-13 13:10:53.867601,197,5
445,2018-02-13 14:21:41.78079,198,5
447,2018-02-13 19:59:59.929393,199,5
448,2018-02-13 23:22:08.243693,303,10
450,2018-02-14 06:25:19.978346,200,5
453,2018-02-15 15:53:09.808396,306,10
456,2018-02-15 22:13:50.330977,204,10
457,2018-02-16 00:05:59.42069,307,5
458,2018-02-16 00:34:03.245313,205,5
459,2018-02-16 04:33:44.135606,308,10
461,2018-02-16 12:17:12.079927,309,5
462,2018-02-16 12:57:38.688973,310,5
463,2018-02-17 02:19:19.377781,311,10
465,2018-02-17 03:32:39.842064,207,5
466,2018-02-17 17:45:43.196509,208,10
473,2018-02-18 20:10:17.874945,213,10
476,2018-02-19 09:41:58.273636,214,5
487,2018-02-20 22:49:54.616965,216,10
491,2018-02-21 08:29:32.503564,217,5
492,2018-02-21 09:22:54.573704,218,5
494,2018-02-21 11:37:24.42955,219,10
496,2018-02-21 14:35:46.471079,220,10
501,2018-02-22 04:12:47.063567,221,10
503,2018-02-22 14:09:56.314812,222,10
504,2018-02-22 19:29:28.278213,223,5
505,2018-02-23 04:05:29.376623,225,10
511,2018-02-24 01:28:13.559648,227,5
513,2018-02-24 07:24:00.356154,228,5
526,2018-02-27 18:02:25.917684,234,10
528,2018-02-28 01:02:09.358919,239,10
529,2018-02-28 01:10:50.461786,246,10
530,2018-02-28 01:18:34.344645,235,5
531,2018-02-28 01:52:24.517178,240,10
532,2018-02-28 02:18:04.853703,247,5
